FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-279,3169394,POINT (16.291530612295798 48.23372064472098),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-278,3169395,POINT (16.3259205130823 48.21466683657867),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-277,3169396,POINT (16.334883619832713 48.21890797128991),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-276,3169397,POINT (16.32211463462873 48.218751302053015),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-275,3169398,POINT (16.314580025605945 48.223489114975706),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-274,3169399,POINT (16.314413996109938 48.22504991206511),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-273,3169400,POINT (16.30454402763077 48.22903452324897),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-272,3169401,POINT (16.324783189450145 48.23406939632352),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-271,3169402,POINT (16.320503611473427 48.24101519135827),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-270,3169403,POINT (16.325825883587513 48.2446924934585),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-26f,3169404,POINT (16.3577219057739 48.24327090638858),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-26e,3169405,POINT (16.35594212441541 48.24395455263162),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-26d,3169406,POINT (16.34401911340372 48.24561825531456),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-26c,3169407,POINT (16.338742309209707 48.24489349725783),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-26b,3169408,POINT (16.337726093894542 48.24486489331787),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-26a,3169409,POINT (16.337598908927145 48.24478735596644),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-269,3169410,POINT (16.39982971760215 48.24900028237055),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-268,3169411,POINT (16.392144149674525 48.26081333180474),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-267,3169412,POINT (16.39129507900582 48.26071627373969),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-266,3169413,POINT (16.394252963580257 48.252432816965666),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-265,3169414,POINT (16.392180676705753 48.263058997158815),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-264,3169415,POINT (16.40755714609697 48.25523423000769),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-263,3169416,POINT (16.407436151999526 48.25531228647343),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-262,3169417,POINT (16.38298176359356 48.26859452449369),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-261,3169418,POINT (16.402605871140835 48.25088153583523),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-260,3169419,POINT (16.415142289942626 48.2526870085004),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-25f,3169420,POINT (16.39980364651738 48.254959334437736),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-25e,3169421,POINT (16.315093194260754 48.232087848378235),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-25d,3169422,POINT (16.419395627677424 48.22762307160131),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-25c,3169423,POINT (16.42160616809049 48.25444146603408),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-25b,3169424,POINT (16.387390998740536 48.26261679673407),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-25a,3169425,POINT (16.39401231949893 48.273140463441656),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-259,3169426,POINT (16.393698166095596 48.27294024456709),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-258,3169427,POINT (16.33036379553713 48.22321000213661),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-257,3169428,POINT (16.417218839438462 48.19918645716488),Trinkbrunnen,4,
